Rank,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio
1,Just Chatting,1.88895E+11,2140741920,2309980,10463,3000513,359389,4072,88.24
2,League of Legends,94422029820,1707155100,3145012,8924,1096489,179646,3248,55.31
3,Grand Theft Auto V,85672270980,1438033740,727079,6992,1543575,162998,2735,59.58
4,VALORANT,70053432240,2591356560,1197406,13550,1819012,133282,4930,27.03
5,Counter-Strike: Global Offensive,42440453100,602570880,1687805,2748,747375,80746,1146,70.43
6,Apex Legends,39983390760,2428853580,559133,13296,1903230,76071,4621,16.46
7,Fortnite,37879091340,2665403580,1024567,60854,3888712,72068,5071,14.21
8,Minecraft,33546534240,1222484220,2189881,6347,2301026,63825,2325,27.44
9,Dota 2,32443270380,458272800,1037857,2353,235012,61726,871,70.79
10,Call of Duty: Warzone,26360373780,1462113480,618010,12842,1053127,50152,2781,18.03
11,Slots,23845306140,71443320,284606,429,41301,45367,135,333.77
12,World of Warcraft,22096227900,611940900,800359,12297,240849,42040,1164,36.11
13,Escape from Tarkov,20488333140,516964080,690725,5568,201983,38980,983,39.63
14,Lost Ark,20330034420,405778740,1273854,12784,278757,38679,772,50.1
15,Elden Ring,16974471060,736016040,908307,22969,769708,32295,1400,23.06
16,Rust,16280859240,205646820,917741,1352,212543,30975,391,79.17
17,Dead by Daylight,15433227180,930086640,155860,4960,639799,29363,1769,16.59
18,Teamfight Tactics,14791332060,194285700,140778,1461,229024,28141,369,76.13
19,Music,14202280260,576275640,228912,2706,388906,27021,1096,24.64
20,FIFA 22,14074459440,385380840,785790,5823,768141,26777,733,36.52
21,Hearthstone,12562059840,91652580,106267,687,78261,23900,174,137.06
22,Overwatch 2,12481261260,419081220,633993,12678,784018,23746,797,29.78
23,Sports,11796667260,71633880,670136,908,178900,22444,136,164.68
24,Special Events,8909273640,36243720,3366021,8741,127764,16950,68,245.82
