Rank,Channel,Watch time,Stream time,Peak viewers,Average viewers,Followers,Followers gained,Partnered,Mature,Language,Channel name
1,xQc,14011281315,203550,312158,68834,11428830,1800441,TRUE,FALSE,English,xQc
2,Gaules,9839529720,522840,669678,18819,3790658,600843,TRUE,TRUE,Portuguese,Gaules
3,ibai,6787631295,83070,3351678,81709,12085920,3489818,TRUE,FALSE,Spanish,ibai
4,auronplay,6118856040,67815,457641,90228,14208902,3287383,TRUE,FALSE,Spanish,auronplay
5,ESL_CSGO,5318476725,347145,550154,15320,5836661,763340,TRUE,FALSE,English,ESL_CSGO
6,fps_shaka,4892895300,233385,78288,20964,1001143,300509,TRUE,FALSE,Japanese,fps_shaka
7,HasanAbi,4871475885,150090,153661,32457,2300216,671124,TRUE,FALSE,English,HasanAbi
8,Trainwreckstv,4776348165,162255,70364,29437,2117035,499913,TRUE,TRUE,English,Trainwreckstv
9,Asmongold,4677443850,67275,448161,69527,3361895,943605,TRUE,FALSE,English,Asmongold
10,tarik,4357902090,185145,187886,23537,2369061,1218327,TRUE,FALSE,English,tarik
11,summit1g,4147069530,251280,45964,16503,6147016,136357,TRUE,FALSE,English,summit1g
12,eliasn97,4075225035,130515,189931,31224,1300433,603221,TRUE,FALSE,German,eliasn97
13,loud_coringa,3933025500,92430,198645,42551,3669805,994321,TRUE,FALSE,Portuguese,loud_coringa
14,loltyler1,3910573170,168075,74015,23266,5131708,473738,TRUE,FALSE,English,loltyler1
15,KaiCenat,3848642010,82050,283245,46906,3332078,2527340,TRUE,FALSE,English,KaiCenat
16,LCK_Korea,3804313575,77310,692626,49208,1429361,271249,TRUE,FALSE,Korean,LCK_Korea
17,casimito,3801760875,110670,540146,34352,3408065,2258513,TRUE,TRUE,Portuguese,casimito
18,Fextralife,3760613145,160620,248428,23413,1445166,491303,TRUE,FALSE,English,Fextralife
19,otplol_,3649194495,485745,204072,7512,612756,176479,TRUE,FALSE,French,otplol_
20,Rubius,3606849465,98940,372079,36454,13250628,2722397,TRUE,FALSE,Spanish,Rubius
21,riotgames,3573103200,76650,988867,46615,6558494,502957,TRUE,FALSE,English,Riot Games (riotgames)
22,AdinRoss,3556523955,66075,266118,53825,7024327,1763837,TRUE,FALSE,English,AdinRoss
23,ROSHTEIN,3532531455,152985,47775,23090,1080581,260313,FALSE,TRUE,English,ROSHTEIN
24,IlloJuan,3345454440,93450,172014,35799,2713994,1586812,TRUE,FALSE,Spanish,IlloJuan
25,VALORANT,3230540910,125790,344755,25682,3520417,1431617,TRUE,FALSE,English,VALORANT
26,juansguarnizo,3156179790,102270,282341,30861,9450195,3388112,TRUE,FALSE,Spanish,juansguarnizo
27,TheGrefg,2964236850,115695,1066622,25621,10465707,1706754,TRUE,FALSE,Spanish,TheGrefg
28,ElSpreen,2943709095,64710,188812,45490,6030881,4002066,TRUE,FALSE,Spanish,ElSpreen
29,stylishnoob4,2916765120,161970,76631,18008,928774,212214,TRUE,FALSE,Japanese,stylishnoob4
30,elxokas,2904460275,152775,1185959,19011,3050143,1704293,TRUE,FALSE,Spanish,elxokas
31,NICKMERCS,2773007385,117225,108069,23655,6613343,360238,TRUE,FALSE,English,NICKMERCS
32,handongsuk,2717773335,187890,69818,14464,538341,77067,TRUE,FALSE,Korean,한동숙 (handongsuk)
33,hanryang1125,2533793730,176085,38921,14389,600262,36239,TRUE,TRUE,Korean,풍월량 (hanryang1125)
34,shroud,2429040765,131070,93631,18532,10418842,558682,TRUE,FALSE,English,shroud
